OrderID,OrderDate,CustomerID,CustomerName,City,Country,SalesChannel,PaymentMethod,Category,SubCategory,Product,Quantity,UnitPrice,CostPerUnit,TotalSales,TotalCost,Profit
ORD100000,2023-04-13,CUST1401,Ali Smith,Edinburgh,UK,Store,Card,Beauty,Haircare,Conditioner,8,63.07,37.62,504.56,300.96,203.6
ORD100001,2023-12-15,CUST1605,John Wilson,Bristol,UK,Store,Card,Clothing,Jeans,Slim Fit Jeans,1,98.52,54.4,98.52,54.4,44.12
ORD100002,2023-09-28,CUST2515,Mina Brown,London,UK,Store,Card,Home & Kitchen,Lamp,Desk Lamp,9,158.01,111.62,1422.09,1004.58,417.51
ORD100003,2023-04-17,CUST1228,Ali Clark,Glasgow,UK,Online,Cash,Clothing,Sweater,Cotton Sweater,6,81.72,55.6,490.32,333.6,156.72
ORD100004,2023-03-13,CUST2598,Ali Walker,London,UK,Store,Card,Sports,Yoga,Yoga Block,1,185.72,105.59,185.72,105.59,80.13
ORD100005,2023-07-08,CUST2875,Emma Smith,Bristol,UK,Online,Cash,Sports,Cycling,Bike Helmet,8,103.81,79.44,830.48,635.52,194.96
ORD100006,2023-01-21,CUST1536,Sara Jones,Southampton,UK,Online,Cash,Electronics,Headphones,JBL Tune 510,5,136.08,70.32,680.4,351.6,328.8
ORD100007,2023-04-13,CUST1267,Mina Wilson,Manchester,UK,Online,PayPal,Beauty,Makeup,Foundation,7,22.5,15.52,157.5,108.64,48.86
ORD100008,2023-05-02,CUST2428,Olivia Walker,Bristol,UK,Store,Card,Clothing,Dress,Casual Dress,7,38.59,21.5,270.13,150.5,119.63
ORD100009,2023-08-03,CUST2816,Sara Clark,Southampton,UK,Online,Bank Transfer,Sports,Cycling,Bike Helmet,7,97.17,66.47,680.19,465.29,214.9
ORD100010,2023-11-27,CUST2034,Mina Clark,Southampton,UK,Online,Cash,Electronics,Smartphone,Nokia G22,6,258.96,152.84,1553.76,917.04,636.72
ORD100011,2023-03-29,CUST2343,Emma Wilson,London,UK,Store,Cash,Electronics,Laptop,Dell Inspiron 15,8,521.76,408.91,4174.08,3271.28,902.8
ORD100012,2023-04-10,CUST2736,Noah Walker,Birmingham,UK,Online,Card,Books,Children,Kids Story Book,9,28.62,21.03,257.58,189.27,68.31
ORD100013,2023-12-26,CUST1125,John Smith,Southampton,UK,Online,Card,Sports,Fitness,Dumbbell Set,2,79.69,46.35,159.38,92.7,66.68
ORD100014,2023-06-01,CUST1305,Reza Lee,Edinburgh,UK,Store,Card,Home & Kitchen,Chair,Dining Chair,7,147.19,109.24,1030.33,764.68,265.65
ORD100015,2023-05-11,CUST2725,David Taylor,Glasgow,UK,Store,Bank Transfer,Clothing,T-Shirt,Basic Cotton Tee,2,60.19,45.38,120.38,90.76,29.62
ORD100016,2023-05-30,CUST2534,Reza Wilson,Manchester,UK,Store,PayPal,Beauty,Skincare,Serum,6,79.16,41.29,474.96,247.74,227.22
ORD100017,2023-11-05,CUST2112,David Jones,London,UK,Online,Cash,Sports,Yoga,Yoga Strap,2,18.63,10.15,37.26,20.3,16.96
ORD100018,2023-09-15,CUST2378,Ali Lee,Glasgow,UK,Store,Cash,Books,Comics,Superhero Comic,10,18.45,9.95,184.5,99.5,85.0
ORD100019,2023-12-10,CUST1627,Ali Johnson,Bristol,UK,Store,Card,Electronics,Smartwatch,Fitbit Versa 3,6,706.88,358.35,4241.28,2150.1,2091.18
ORD100020,2023-10-21,CUST2375,David Walker,Southampton,UK,Store,Bank Transfer,Home & Kitchen,Bedding,Duvet Set,2,108.42,60.22,216.84,120.44,96.4
ORD100021,2023-07-11,CUST1688,John Smith,Leeds,UK,Store,PayPal,Clothing,T-Shirt,Graphic Tee,1,112.47,78.82,112.47,78.82,33.65
ORD100022,2023-10-04,CUST2037,Noah Clark,Leeds,UK,Store,Bank Transfer,Home & Kitchen,Chair,Office Chair,7,275.37,218.01,1927.59,1526.07,401.52
ORD100023,2023-06-10,CUST2280,Ali Lee,Bristol,UK,Online,PayPal,Sports,Cycling,Cycling Gloves,3,104.45,59.57,313.35,178.71,134.64
ORD100024,2023-11-10,CUST2232,Ali Clark,Edinburgh,UK,Store,Cash,Beauty,Skincare,Serum,4,19.53,11.07,78.12,44.28,33.84
ORD100025,2023-01-22,CUST1280,John Walker,Edinburgh,UK,Store,Cash,Clothing,T-Shirt,Basic Cotton Tee,6,87.95,45.04,527.7,270.24,257.46
ORD100026,2023-09-10,CUST1442,David Walker,Southampton,UK,Store,Cash,Home & Kitchen,Chair,Office Chair,5,34.38,23.46,171.9,117.3,54.6
ORD100027,2023-08-24,CUST2863,Mina Jones,Edinburgh,UK,Online,Cash,Beauty,Haircare,Conditioner,4,53.15,37.18,212.6,148.72,63.88
ORD100028,2023-12-11,CUST1836,Sara Wilson,Edinburgh,UK,Store,Bank Transfer,Beauty,Skincare,Moisturiser,9,32.89,24.4,296.01,219.6,76.41
ORD100029,2023-02-18,CUST1388,John Jones,Glasgow,UK,Online,Cash,Clothing,Dress,Casual Dress,6,68.7,36.52,412.2,219.12,193.08
ORD100030,2023-02-28,CUST1616,Mina Jones,Edinburgh,UK,Online,PayPal,Home & Kitchen,Chair,Dining Chair,6,243.19,191.13,1459.14,1146.78,312.36
ORD100031,2023-06-19,CUST2506,Emma Taylor,London,UK,Store,Cash,Electronics,Smartphone,iPhone SE,2,123.23,76.08,246.46,152.16,94.3
ORD100032,2023-07-07,CUST1146,Noah Johnson,Southampton,UK,Online,Bank Transfer,Sports,Cycling,Cycling Gloves,6,102.63,55.82,615.78,334.92,280.86
ORD100033,2023-09-28,CUST2302,Reza Johnson,Bristol,UK,Store,Bank Transfer,Clothing,Sweater,Cotton Sweater,7,105.45,61.71,738.15,431.97,306.18
ORD100034,2023-07-09,CUST1520,David Wilson,London,UK,Store,PayPal,Sports,Yoga,Yoga Block,8,158.77,111.35,1270.16,890.8,379.36
ORD100035,2023-06-24,CUST1629,John Jones,Leeds,UK,Store,Cash,Beauty,Haircare,Conditioner,8,49.85,27.8,398.8,222.4,176.4
ORD100036,2023-02-20,CUST2629,Liam Brown,Birmingham,UK,Store,Cash,Books,Fiction,Novel - Romance,9,12.72,6.54,114.48,58.86,55.62
ORD100037,2023-12-30,CUST1433,Olivia Wilson,Leeds,UK,Online,Cash,Electronics,Smartwatch,Fitbit Versa 3,10,253.31,152.91,2533.1,1529.1,1004.0
ORD100038,2023-02-24,CUST1143,Reza Martin,London,UK,Store,Bank Transfer,Clothing,T-Shirt,Graphic Tee,3,101.65,62.0,304.95,186.0,118.95
ORD100039,2023-09-01,CUST1288,Emma Taylor,Southampton,UK,Online,PayPal,Electronics,Smartwatch,Fitbit Versa 3,10,623.33,393.84,6233.3,3938.4,2294.9
ORD100040,2023-11-16,CUST2409,Olivia Wilson,London,UK,Store,PayPal,Electronics,Headphones,Apple EarPods,7,645.11,511.5,4515.77,3580.5,935.27
ORD100041,2023-05-11,CUST1013,David Smith,Manchester,UK,Store,Card,Electronics,Tablet,Lenovo Tab M10,7,252.69,191.72,1768.83,1342.04,426.79
ORD100042,2023-11-03,CUST1256,Mina Smith,Edinburgh,UK,Store,Cash,Books,Non-fiction,Biography,1,26.76,19.94,26.76,19.94,6.82
ORD100043,2023-05-15,CUST2369,David Lee,Bristol,UK,Store,Card,Beauty,Perfume,Eau de Parfum,8,53.87,33.79,430.96,270.32,160.64
ORD100044,2023-01-21,CUST2721,John Jones,Bristol,UK,Store,Card,Home & Kitchen,Lamp,Floor Lamp,4,83.86,43.69,335.44,174.76,160.68
ORD100045,2023-11-25,CUST2368,Mina Walker,Glasgow,UK,Store,Card,Electronics,Tablet,Lenovo Tab M10,5,465.57,371.1,2327.85,1855.5,472.35
ORD100046,2023-06-16,CUST2423,David Wilson,Edinburgh,UK,Store,Bank Transfer,Books,Education,Math Workbook,6,30.83,18.44,184.98,110.64,74.34
ORD100047,2023-10-01,CUST2230,Noah Lee,Leeds,UK,Store,Card,Home & Kitchen,Cookware,Steel Pot,3,251.62,183.86,754.86,551.58,203.28
ORD100048,2023-03-30,CUST1857,Noah Brown,Glasgow,UK,Online,Card,Books,Children,Activity Book,5,14.86,7.49,74.3,37.45,36.85
ORD100049,2023-11-12,CUST1942,John Brown,Bristol,UK,Store,PayPal,Beauty,Nailcare,Nail Polish,10,13.86,10.58,138.6,105.8,32.8
ORD100050,2023-01-14,CUST2195,Mina Clark,Edinburgh,UK,Online,Bank Transfer,Books,Children,Activity Book,5,34.28,20.18,171.4,100.9,70.5
ORD100051,2023-08-30,CUST1463,Olivia Taylor,Edinburgh,UK,Online,Cash,Electronics,Headphones,Apple EarPods,1,285.34,210.54,285.34,210.54,74.8
ORD100052,2023-09-22,CUST1269,Liam Lee,Bristol,UK,Store,Bank Transfer,Sports,Running,Running Shoes,3,188.17,138.07,564.51,414.21,150.3
ORD100053,2023-12-12,CUST2244,Liam Lee,Glasgow,UK,Store,Bank Transfer,Electronics,Tablet,iPad 10.2,3,516.02,295.58,1548.06,886.74,661.32
ORD100054,2023-02-22,CUST2175,David Wilson,Birmingham,UK,Store,Bank Transfer,Clothing,Sweater,Cotton Sweater,1,67.83,38.67,67.83,38.67,29.16
ORD100055,2023-12-06,CUST1622,Reza Clark,Manchester,UK,Store,Bank Transfer,Electronics,Tablet,iPad 10.2,7,661.77,407.71,4632.39,2853.97,1778.42
ORD100056,2023-04-02,CUST2206,Noah Jones,Glasgow,UK,Online,Bank Transfer,Clothing,Jacket,Rain Jacket,1,101.71,62.5,101.71,62.5,39.21
